ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
249983_at	0.0453	0.00000803	22.222462	3.938999	2.5841145	AT5G18470	curculin-like (mannose-binding) lectin family protein
253046_at	0.0453	0.00001034	21.014119	3.801516	2.4223636	CYP81D8	cytochrome P450, family 81, subfamily D, polypeptide 8
251065_at	0.0453	0.00001448	-19.501201	3.604837	-2.2790363	AT5G01870	pathogenesis-related lipid transfer protein
252123_at	0.0453	0.00001712	-18.792083	3.501852	-2.424914	F3H	flavanone 3-hydroxylase
256940_at	0.0453	0.00002114	-17.931648	3.366369	-2.1798195	QQS	qua-quine starch
250558_at	0.0453	0.0000262	-17.096869	3.222701	-2.1293198	TT7	Flavonoid 3'-monooxygenase
257206_at	0.0453	0.00002629	17.084016	3.220387	2.8635544	AT3G16530	legume lectin-like protein
267289_at	0.0453	0.00002714	16.963171	3.198481	1.9259894	AT2G23770	lysin motif receptor-like kinase
252170_at	0.0453	0.00002906	16.707522	3.151187	2.0073434	HR4	RPW8-like protein 4
258675_at	0.0453	0.00003112	-16.454417	3.103056	-4.0236366	LTP6	lipid-transfer protein 6
249378_at	0.0453	0.00003178	16.377747	3.088214	2.1599302	AT5G40450	hypothetical protein
261719_at	0.0453	0.00003535	15.993884	3.011999	2.1170084	AT1G18390	probable serine/threonine-protein kinase
246195_at	0.0453	0.0000413	15.448843	2.898081	2.1333818	UBC17	putative ubiquitin-conjugating enzyme E2 17
258181_at	0.0453	0.00004255	-15.347021	2.876022	-1.8331003	AT3G21670	nitrate transporter 1.3
257623_at	0.0453	0.00004468	15.180699	2.839443	1.7764017	CYP71B23	cytochrome P450 71B23
254283_s_at	0.0453	0.00004852	-14.903664	2.776972	-1.8549653	LDOX///AT4G22870	leucoanthocyanidin dioxygenase///leucoanthocyanidin dioxygenase-like protein
265679_at	0.0453	0.00004879	14.88501	2.772695	1.8824971	AT2G32240///AT2G32235	hypothetical protein///hypothetical protein
257294_at	0.0453	0.00004923	-14.855553	2.765922	-1.8025774	AT3G15570	phototropic-responsive NPH3 family protein
254660_at	0.0453	0.00004962	14.829234	2.759851	1.9030351	AT4G18250	putative receptor serine/threonine kinase
259244_at	0.0453	0.00005028	14.785505	2.749725	1.7559414	COL9	zinc finger protein CONSTANS-LIKE 9
245253_at	0.0453	0.00005056	-14.767408	2.745519	-2.0770256	HPL1	hydroperoxide lyase 1
261450_s_at	0.0453	0.00005107	14.734508	2.737852	1.9501055	AT1G21120///AT1G21110	O-methyltransferase family protein///O-methyltransferase family protein
259009_at	0.0453	0.00005118	-14.726892	2.736073	-3.0447958	PYK10	beta-glucosidase 23
251884_at	0.0453	0.00005361	14.575196	2.700312	2.3850832	AT3G54150	S-adenosyl-L-methionine-dependent methyltransferase-like protein
261027_at	0.0453	0.00005684	14.386009	2.654833	1.7633953	CNGC10	cyclic nucleotide gated channel 10
249174_at	0.0453	0.00005951	14.239454	2.618917	1.8848294	COR27	cold regulated protein 27
248427_at	0.0453	0.00006141	-14.139468	2.594061	-1.8708815	SBT1.3	subtilase 1.3
250083_at	0.0453	0.00006215	-14.101774	2.584616	-2.6342458	GSTF12	glutathione S-transferase phi 12
255622_at	0.0453	0.00006216	-14.101376	2.584516	-1.9854756	GT72B1	UDP-glycosyltransferase 72B1
248895_at	0.0453	0.00006453	13.983517	2.554714	1.7791672	FLS2	LRR receptor-like serine/threonine-protein kinase FLS2
260831_at	0.0453	0.00006626	13.901101	2.53363	1.5777835	AT1G06830	monothiol glutaredoxin-S11
253181_at	0.0453	0.00006642	13.893327	2.531631	2.9290001	LHT7	LYS/HIS transporter 7
264901_at	0.0453	0.00006817	13.812922	2.510847	1.7562273	AST91	sulfate transporter 3.3
259841_at	0.0453	0.00006873	13.787501	2.504234	3.5279505	AT1G52200	PLAC8 family protein
263829_at	0.0453	0.00007288	-13.607962	2.45697	-1.5671899	AT2G40435	hypothetical protein
261768_at	0.0453	0.00007334	-13.58875	2.451854	-2.061806	GA3OX1	gibberellin 3-beta-dioxygenase 1
253754_at	0.0453	0.0000743	-13.549273	2.441303	-1.8747988	AT4G29020	glycine-rich protein
250794_at	0.0453	0.00007746	-13.42323	2.407286	-1.7497228	AT5G05270	Chalcone-flavanone isomerase family protein
258589_at	0.0453	0.00007825	-13.392845	2.39901	-2.2004311	LTL1	Li-tolerant lipase 1
248921_at	0.0453	0.0000822	-13.245555	2.358465	-1.6739277	AT5G45950	GDSL esterase/lipase
258217_at	0.0453	0.00008292	-13.219664	2.351264	-2.235084	CPuORF30///XPL1	conserved peptide upstream open reading frame 30///phosphoethanolamine N-methyltransferase 1
261713_at	0.0453	0.00008347	-13.200255	2.345852	-1.5773341	MYC2	transcription factor MYC2
267142_at	0.0461	0.0000884	13.031294	2.298201	1.6292864	AMT2	ammonium transporter 2
255564_s_at	0.0461	0.00008973	12.987655	2.285737	2.6684201	RGXT1///RGXT2	rhamnogalacturonan xylosyltransferase 1///rhamnogalacturonan xylosyltransferase 2
254869_at	0.0461	0.00009471	12.831326	2.240547	1.8587548	AT4G11890	receptor-like cytosolic kinase ARCK1
245628_at	0.0461	0.00009514	-12.818011	2.236658	-3.1225812	PAP1	transcription factor MYB75
265117_at	0.0461	0.00009926	-12.69665	2.200928	-1.8207195	AT1G62500	bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
253779_at	0.0461	0.0001055	12.523873	2.149146	1.9528062	HAE	receptor-like protein kinase 5
263034_at	0.0461	0.00010761	-12.468349	2.132274	-1.929367	MLP423	MLP-like protein 423
251232_at	0.0461	0.00010986	12.410382	2.114537	1.7466249	AT3G62780	calcium-dependent lipid-binding domain-containing protein
265720_at	0.0461	0.00011127	12.374704	2.103558	1.513044	AT2G40110	Yippee family putative zinc-binding protein
